source,year,isolate_id,species_id,MDR,antibiotic,abx_class,zone_diameter,phenotype
Retail sushi,2015.0,SU38-1,A. media ?,0,Meropenem MEM10,Carbapenemems,37,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Gentamycin  GM10,Aminoglycosides ,21,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Tobramycin TOB30,Aminoglycosides ,21,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Erythromycin  EM15,Macrolides,15,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Florfenicol  FEC30,Amphenicols,31,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,26,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,31,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,39,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,40,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,38,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Doxycycline DO30,Tetracylines ,27,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Tetracycline TE30,Tetracylines ,31,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Imipenem IPM10,Carbapenemems,32,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Meropenem MEM10,Carbapenemems,39,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,20,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,21,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Erythromycin  EM15,Macrolides,17,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,35,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,28,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,34,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,39,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,37,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Oxolinic acid OA,Quinolones,33,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Doxycycline DO30,Tetracylines ,26,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Tetracycline TE30,Tetracylines ,28,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Imipenem IPM10,Carbapenemems,20,I
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Meropenem MEM10,Carbapenemems,25,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,23,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,22,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Erythromycin  EM15,Macrolides,16,S
